"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"80","bellevue",2012,1777,28077,0.063290237560993,0.0312502850695429,557000,0.0878906249999993
"81","bellevue",2013,1952,33382,0.058474627044515,-0.0760877301469625,601450,0.0798025134649907
"82","bellevue",2014,1799,31845,0.0564923849897943,-0.0338991825157204,7e+05,0.163854019452989
"83","bellevue",2015,2013,34417,0.0584885376412819,0.0353348978246932,752000,0.0742857142857147
"84","bellevue",2016,1929,33824,0.0570305108798486,-0.0249284188019125,845000,0.123670212765956
"85","black diamond",1996,87,27516,0.00316179677278674,-0.42410835968164,149000,0.150579150579152
"86","black diamond",1997,163,31821,0.00512240344426637,0.620092565200383,158000,0.0604026845637584
"87","black diamond",1998,184,34021,0.00540842420857706,0.055837219270739,184854,0.169962025316456
"88","black diamond",1999,139,33331,0.00417029192043443,-0.228926622689675,160000,-0.13445205405347
"89","black diamond",2000,133,31196,0.00426336709834594,0.0223186241364641,179900,0.124375000000001
"90","black diamond",2001,124,30855,0.0040187976016853,-0.057365338479889,191000,0.0617009449694272
"91","black diamond",2002,108,33613,0.00321304257281409,-0.200496543675978,2e+05,0.047120418848168
"92","black diamond",2003,155,39941,0.0038807240680003,0.207803500904574,2e+05,0
"93","black diamond",2004,144,43322,0.00332394626286875,-0.14347266009522,220000,0.099999999999999
"94","black diamond",2005,176,45181,0.00389544277461765,0.171933138069345,275000,0.250000000000001
"95","black diamond",2006,246,39609,0.0062107096871923,0.594352695324065,408250,0.484545454545455
"96","black diamond",2007,138,31419,0.00439224672968586,-0.292794712536068,342000,-0.162278015921617
"97","black diamond",2008,63,20255,0.00311034312515428,-0.291856009788244,385000,0.125730994152046
"98","black diamond",2009,74,19232,0.0038477537437604,0.237083366347094,233525,-0.393441558441557
"99","black diamond",2010,68,20732,0.00327995369477137,-0.147566628948068,240000,0.0277272240659456
"100","black diamond",2011,85,21948,0.00387279023145617,0.18074539821396,230000,-0.0416666666666664
"101","black diamond",2012,96,28077,0.00341916871460626,-0.117130412374374,235950,0.0258695652173899
"102","black diamond",2013,115,33382,0.00344497034329878,0.00754617009166592,272000,0.152786607332062
"103","black diamond",2014,115,31845,0.00361124195321087,0.0482650337572623,253000,-0.0698529411764701
"104","black diamond",2015,217,34417,0.00630502368015806,0.745943296475073,5e+05,0.976284584980236
"105","black diamond",2016,118,33824,0.00348864711447493,-0.446687706272426,349999.5,-0.300001
"106","bothell",1996,334,27516,0.0121383922081698,0.0442600588238766,173500,0.0146198830409361
"107","bothell",1997,349,31821,0.0109676000125703,-0.0964536468686086,187500,0.0806916426512965
"108","bothell",1998,378,34021,0.0111107845154463,0.0130552265501951,209975,0.119866666666667
"109","bothell",1999,343,33331,0.0102907203504245,-0.073807944333881,226000,0.0763186093582562
"110","bothell",2000,366,31196,0.0117322733683806,0.140082809450416,248950,0.101548672566372
"111","bothell",2001,368,30855,0.0119267541727435,0.0165765660461892,259475,0.0422775657762606
"112","bothell",2002,394,33613,0.0117216553119329,-0.0171965362780181,286250,0.103189131900953
"113","bothell",2003,427,39941,0.0106907688841041,-0.0879471713162706,286900,0.00227074235807789
"114","bothell",2004,477,43322,0.0110105719957527,0.0299139486706324,320000,0.115371209480656
"115","bothell",2005,482,45181,0.0106682012350324,-0.0310947297608491,369975,0.156171875000001
"116","bothell",2006,386,39609,0.00974525991567573,-0.0865133023855909,428750,0.158862085276031
"117","bothell",2007,300,31419,0.00954836245583882,-0.0202044339033161,435500,0.0157434402332366
"118","bothell",2008,201,20255,0.00992347568501604,0.0392856084917299,417000,-0.0424799081515491
"119","bothell",2009,215,19232,0.0111792845257903,0.126549293880018,365000,-0.124700239808154
"120","bothell",2010,255,20732,0.0122998263553926,0.100233769613539,374000,0.0246575342465738
"121","bothell",2011,314,21948,0.0143065427373793,0.163149976593517,388000,0.0374331550802147
"122","bothell",2012,386,28077,0.0137479075399793,-0.0390475328424625,374900,-0.0337628865979386
"123","bothell",2013,383,33382,0.0114732490563777,-0.165454886642704,416000,0.109629234462524
"124","bothell",2014,359,31845,0.0112733553148061,-0.0174225923789638,455000,0.0937500000000009
"125","bothell",2015,382,34417,0.0110991661097713,-0.0154514073379718,474500,0.0428571428571431
"126","bothell",2016,392,33824,0.0115894039735099,0.0441688915086162,590000,0.243414120126448
"127","burien",1996,554,27516,0.0201337403692397,-0.0261451805633718,117500,0.00213219616204618
"128","burien",1997,717,31821,0.0225322899971717,0.119130851195263,126000,0.072340425531916
"129","burien",1998,719,34021,0.0211340054672114,-0.0620569205409555,138700,0.10079365079365
"130","burien",1999,791,33331,0.0237316612162851,0.122913555270149,155000,0.117519826964672
"131","burien",2000,722,31196,0.0231439928195923,-0.0247630535147544,165000,0.0645161290322585
"132","burien",2001,685,30855,0.0222006157835035,-0.0407612050108384,171500,0.0393939393939391
"133","burien",2002,713,33613,0.0212120310594115,-0.0445296082654845,181500,0.0583090379008737
